customer_id,transaction_date,transaction_amount
CS5811,23/08/2013,91.00
CS2051,09/12/2014,101.00
CS3957,30/08/2012,69.00
CS4704,25/11/2014,41.00
CS2289,19/05/2012,67.00
CS5218,21/06/2014,45.00
CS4637,20/05/2011,71.00
CS3158,06/05/2012,91.00
CS4176,30/07/2012,49.00
CS1939,25/11/2011,101.00
CS5403,01/12/2011,64.00
CS5489,02/12/2014,77.00
CS4563,30/05/2011,101.00
CS3508,23/05/2012,67.00
CS2703,12/10/2014,40.00
CS2596,01/05/2013,76.00
CS5990,19/10/2012,103.00
CS4215,09/07/2011,54.00
CS4811,26/01/2012,77.00
CS2070,30/01/2013,41.00
CS3419,29/01/2015,38.00
CS3668,14/08/2014,102.00
CS4623,27/09/2013,89.00
CS4708,02/07/2013,48.00
CS1816,22/09/2013,64.00
CS5376,08/12/2013,44.00
CS4568,15/11/2011,70.00
CS1779,27/01/2012,53.00
CS2447,10/07/2011,82.00
CS1985,16/08/2011,87.00
CS2544,07/11/2011,64.00
CS2158,11/09/2012,89.00
CS5776,09/09/2014,87.00
CS5653,04/09/2013,98.00
CS2291,15/10/2014,67.00
CS6088,29/10/2012,48.00
CS4245,02/06/2014,102.00
CS3344,02/07/2014,56.00
CS1481,23/12/2013,50.00
CS5400,23/12/2011,56.00
CS5463,27/08/2014,91.00
CS5951,07/08/2014,104.00
CS5515,19/02/2012,41.00
CS3039,01/05/2012,92.00
CS1836,24/03/2012,63.00
CS4320,09/04/2014,52.00
CS4889,01/12/2011,38.00
CS1319,26/09/2011,95.00
CS4859,07/01/2015,50.00
CS4148,08/02/2014,40.00
CS5264,03/04/2013,81.00
CS4041,29/12/2014,49.00
CS2183,04/01/2013,39.00
CS2516,15/02/2015,55.00
CS1890,03/11/2012,37.00
CS3730,11/02/2013,89.00
CS5382,07/03/2013,48.00
CS5970,13/06/2014,40.00
CS5260,30/01/2015,46.00
CS2437,13/11/2011,90.00
CS4675,11/09/2011,67.00
CS2920,11/10/2011,87.00
CS2548,28/09/2013,73.00
CS1818,26/12/2011,46.00
CS6098,28/09/2012,42.00
CS2712,26/12/2011,65.00
CS2714,14/12/2011,69.00
CS2615,17/08/2013,39.00
CS5445,27/07/2014,72.00
CS5812,02/11/2014,62.00
CS4636,22/09/2013,66.00
CS3147,04/06/2014,84.00
CS1273,01/02/2012,91.00
CS4243,11/11/2011,48.00
CS2357,13/04/2012,71.00
CS1776,03/05/2014,79.00
CS5643,02/03/2013,104.00
CS4522,06/03/2015,82.00
CS2418,01/02/2015,51.00
CS1330,21/11/2014,41.00
CS1195,29/12/2014,83.00
CS4306,07/03/2015,54.00
CS2137,29/09/2013,73.00
CS3518,19/06/2013,54.00
CS5835,18/09/2011,52.00
CS4701,15/01/2015,95.00
CS4548,28/06/2012,38.00
CS2384,15/10/2012,35.00
CS4081,17/02/2013,74.00
CS5976,02/01/2012,99.00
CS3874,08/09/2011,44.00
CS5356,17/06/2014,105.00
CS4667,17/09/2014,66.00
CS4328,04/06/2012,56.00
CS3291,02/08/2013,42.00
CS4282,11/09/2011,44.00
CS4331,25/09/2011,70.00
CS1243,17/03/2013,36.00
CS2390,20/05/2014,104.00
CS2207,05/04/2014,71.00
CS1270,18/11/2011,104.00
CS1219,11/11/2014,91.00
CS5427,13/11/2012,96.00
CS5474,18/05/2011,69.00
CS5109,23/05/2012,92.00
CS5287,14/03/2015,94.00
CS3477,05/05/2013,80.00
CS3970,13/12/2011,86.00
CS5760,08/12/2011,59.00
CS2149,04/04/2013,83.00
CS4934,19/07/2014,80.00
CS1517,18/10/2013,89.00
CS1641,29/12/2012,64.00
CS2187,19/11/2011,70.00
CS5359,12/08/2014,96.00
CS3124,08/12/2011,71.00
CS1721,30/08/2012,96.00
CS5212,22/01/2015,42.00
CS5111,23/08/2011,81.00
CS3137,04/04/2012,67.00
CS1511,25/01/2015,69.00
CS2509,23/02/2014,92.00
CS5994,11/01/2014,42.00
CS2613,25/08/2013,103.00
CS1934,18/08/2014,89.00
CS3127,02/10/2011,39.00
CS5225,18/03/2014,104.00
CS1815,17/11/2012,83.00
CS3552,27/04/2014,102.00
CS1893,17/11/2013,42.00
CS3621,26/10/2013,56.00
CS4330,17/07/2013,59.00
CS4991,20/07/2013,90.00
CS2312,22/10/2013,37.00
CS2359,04/06/2012,90.00
CS4798,06/12/2012,84.00
CS2507,28/06/2012,94.00
CS1430,02/09/2014,71.00
CS3787,23/10/2013,48.00
CS4103,14/04/2013,89.00
CS2881,24/09/2012,54.00
CS1854,29/09/2011,74.00
CS2863,23/12/2012,102.00
CS5292,04/09/2013,64.00
CS3184,07/01/2012,88.00
CS2049,07/10/2013,66.00
CS2832,16/07/2013,105.00
CS2251,12/04/2013,99.00
CS5667,25/02/2014,66.00
CS1327,19/02/2012,38.00
CS4927,12/08/2013,37.00
CS2302,09/09/2012,100.00
CS3901,11/09/2012,82.00
CS5762,21/04/2013,85.00
CS2289,13/03/2012,89.00
CS2867,09/02/2012,56.00
CS2359,10/08/2014,87.00
CS5814,12/12/2011,72.00
CS5129,21/06/2011,102.00
CS2597,03/06/2012,42.00
CS5838,01/09/2012,96.00
CS5800,23/04/2012,86.00
CS3786,16/07/2013,66.00
CS3659,19/05/2012,77.00
CS4400,03/09/2011,97.00
CS3026,03/06/2012,55.00
CS3632,10/02/2013,72.00
CS1452,23/03/2012,79.00
CS5140,11/07/2014,97.00
CS5383,29/12/2013,73.00
CS4695,17/09/2013,48.00
CS2368,10/08/2012,66.00
CS2066,15/07/2011,51.00
CS5277,12/07/2011,90.00
CS3025,30/12/2011,72.00
CS4802,25/06/2011,45.00
CS6001,16/02/2014,63.00
CS3981,20/09/2014,74.00
CS3885,29/04/2014,56.00
CS5546,28/08/2012,79.00
CS4964,20/05/2014,79.00
CS4881,21/01/2014,55.00
CS4103,02/03/2014,40.00
CS5884,19/12/2012,97.00
CS2765,18/04/2013,88.00
CS4438,05/07/2014,72.00
CS2234,21/12/2014,36.00
CS3015,30/01/2014,58.00
CS3755,01/01/2015,45.00
CS3927,25/03/2014,77.00
CS5799,08/11/2012,101.00
CS5708,03/06/2011,89.00
CS3695,20/04/2013,51.00
CS1969,23/10/2014,39.00
CS3854,09/11/2014,104.00
CS3416,23/02/2015,57.00
CS1414,01/12/2013,104.00
CS4732,27/03/2013,96.00
CS2493,29/12/2012,85.00
CS5851,19/01/2013,98.00
CS1678,09/05/2014,48.00
CS2049,19/03/2013,36.00
CS3676,27/09/2011,43.00
CS4853,27/03/2012,68.00
CS4292,04/03/2014,98.00
CS3152,15/12/2014,40.00
CS5640,13/01/2014,77.00
CS5857,26/09/2012,85.00
CS1472,12/04/2014,72.00
CS3888,22/02/2012,70.00
CS5563,23/06/2013,70.00
CS5104,17/09/2012,99.00
CS6109,01/11/2013,92.00
CS2352,06/10/2014,62.00
CS4024,01/02/2014,39.00
CS1499,24/12/2011,91.00
CS3071,15/09/2012,39.00
CS5638,16/12/2014,58.00
CS5533,16/05/2013,73.00
CS1961,29/03/2012,75.00
CS1707,15/09/2011,105.00
CS3692,17/09/2014,48.00
CS1275,28/12/2011,102.00
CS4738,20/03/2013,37.00
CS3732,12/06/2011,83.00
CS5676,16/12/2013,44.00
CS4111,26/07/2012,54.00
CS2074,05/01/2015,79.00
CS5815,03/01/2015,92.00
CS5094,07/03/2015,84.00
CS5431,05/01/2013,55.00
CS4540,13/08/2014,55.00
CS1891,25/03/2013,84.00
CS4389,22/03/2013,70.00
CS4412,07/01/2012,47.00
CS1697,13/07/2014,98.00
CS2720,11/04/2012,72.00
CS1152,04/08/2012,71.00
CS3796,14/09/2013,37.00
CS6066,23/08/2013,66.00
CS2643,20/07/2014,69.00
CS6056,22/03/2014,104.00
CS3489,09/01/2013,76.00
CS5229,23/11/2011,58.00
CS4649,16/12/2014,93.00
CS4372,27/08/2014,71.00
CS1790,04/10/2012,100.00
CS1475,20/08/2012,73.00
CS2452,05/04/2014,77.00
CS2781,02/06/2011,51.00
CS5260,25/09/2014,89.00
CS5155,25/12/2011,100.00
CS1582,24/05/2014,46.00
CS4757,19/08/2011,81.00
CS6039,05/10/2013,104.00
CS1580,18/11/2012,87.00
CS3815,05/07/2011,54.00
CS6063,13/04/2013,104.00
CS2226,29/10/2014,104.00
CS5367,08/01/2015,77.00
CS4581,04/06/2013,95.00
CS5004,21/12/2014,59.00
CS2164,06/08/2013,35.00
CS4590,31/05/2014,79.00
CS4600,03/10/2011,50.00
CS2122,20/02/2012,90.00
CS3060,24/08/2012,59.00
CS2217,19/04/2013,85.00
CS4288,21/04/2014,68.00
CS1568,10/05/2013,104.00
CS3442,16/09/2014,39.00
CS4883,24/12/2013,39.00
CS4911,17/02/2012,75.00
CS1533,25/07/2012,86.00
CS3103,07/05/2014,59.00
CS2185,29/01/2012,46.00
CS4094,24/07/2013,100.00
CS4354,29/12/2012,62.00
CS1939,25/07/2012,46.00
CS5516,04/12/2012,75.00
CS5664,02/11/2013,95.00
CS5068,07/11/2014,41.00
CS4376,13/10/2014,49.00
CS5825,22/10/2011,61.00
CS1871,16/01/2012,64.00
CS5046,06/02/2015,86.00
CS1259,30/06/2013,64.00
CS5664,11/09/2011,58.00
CS2986,20/07/2011,67.00
CS5510,02/09/2013,99.00
CS2845,10/01/2013,73.00
CS4077,22/07/2012,90.00
CS3466,04/11/2013,71.00
CS1508,25/10/2013,101.00
CS2469,19/07/2014,93.00
CS2767,03/01/2015,105.00
CS5790,17/03/2012,58.00
CS1710,10/06/2013,100.00
CS2554,05/10/2011,100.00
CS5283,05/02/2015,63.00
CS4050,30/08/2014,63.00
CS5975,08/09/2012,77.00
CS4227,16/10/2012,74.00
CS5983,20/05/2011,47.00
CS2490,04/12/2013,70.00
CS1696,25/12/2012,51.00
CS3209,25/02/2014,82.00
CS2942,08/01/2013,62.00
CS4981,16/10/2011,93.00
CS1397,26/03/2014,77.00
CS1903,15/04/2013,92.00
CS3754,30/11/2013,77.00
CS4763,12/12/2011,78.00
CS4413,17/01/2015,38.00
CS2333,13/08/2011,99.00
CS2798,30/05/2012,100.00
CS5033,13/12/2011,96.00
CS1420,09/09/2014,99.00
CS5132,14/09/2011,74.00
CS3058,03/09/2012,74.00
CS3692,22/09/2013,42.00
CS2463,29/09/2012,55.00
CS5209,11/11/2011,35.00
CS4581,16/11/2013,53.00
CS3424,02/12/2013,85.00
CS3207,27/06/2013,86.00
CS5763,23/01/2013,56.00
CS5772,18/01/2012,97.00
CS3673,29/04/2013,85.00
CS2887,02/03/2012,100.00
CS1596,28/08/2011,66.00
CS4299,17/06/2012,37.00
CS1492,06/02/2014,82.00
CS2313,10/04/2014,40.00
CS5385,25/04/2014,83.00
CS3441,03/11/2013,43.00
CS4701,26/07/2014,53.00
CS1746,21/06/2013,103.00
CS3276,27/07/2013,65.00
CS2555,20/05/2012,50.00
CS2569,29/04/2014,37.00
CS3426,01/05/2014,67.00
CS3052,17/11/2013,67.00
CS1993,08/08/2013,68.00
CS4908,27/09/2014,78.00
CS3021,10/02/2014,43.00
CS4424,16/05/2013,82.00
CS4841,23/05/2013,74.00
CS3486,19/11/2012,75.00
CS2218,11/10/2011,78.00
CS4779,29/04/2012,53.00
CS4226,19/04/2013,100.00
CS1653,30/08/2011,53.00
CS2533,30/03/2012,99.00
CS2905,29/07/2012,47.00
CS5169,25/01/2013,64.00
CS5142,25/11/2012,64.00
CS4390,02/07/2014,43.00
CS5668,27/02/2014,91.00
CS2896,14/01/2013,71.00
CS5156,02/10/2013,58.00
CS4200,12/08/2012,67.00
CS4391,07/09/2014,67.00
CS5408,22/07/2013,78.00
CS6019,25/10/2013,84.00
CS3981,25/07/2012,40.00
CS5925,20/06/2013,66.00
CS3964,14/11/2013,105.00
CS4688,20/05/2013,101.00
CS1343,02/06/2012,57.00
CS6024,14/10/2012,45.00
CS2816,18/12/2011,84.00
CS2434,20/05/2012,41.00
CS6018,18/05/2012,96.00
CS2072,07/07/2012,63.00
CS2897,03/12/2013,83.00
CS1680,14/10/2013,81.00
CS1638,05/08/2013,84.00
CS1165,12/04/2012,101.00
CS4593,04/01/2012,84.00
CS3414,13/11/2011,46.00
CS2252,28/02/2013,58.00
CS3598,30/07/2013,54.00
CS3642,19/05/2014,62.00
CS5948,10/07/2014,71.00
CS5582,23/05/2014,96.00
CS6107,23/07/2011,70.00
CS5201,02/07/2011,79.00
CS1639,05/05/2013,51.00
CS5884,20/11/2012,52.00
CS3515,07/07/2014,81.00
CS2332,29/08/2013,66.00
CS5628,16/12/2014,94.00
CS4830,13/04/2012,78.00
CS1673,04/01/2012,92.00
CS4993,01/06/2011,86.00
CS2603,01/07/2013,58.00
CS1800,20/11/2013,72.00
CS3911,09/06/2012,83.00
CS5465,05/12/2011,77.00
CS2373,29/03/2012,105.00
CS1241,06/03/2013,104.00
CS4244,15/02/2013,48.00
CS5233,05/06/2013,73.00
CS5405,04/12/2013,87.00
CS4115,30/11/2011,73.00
CS4283,23/12/2011,76.00
CS4420,28/05/2014,93.00
CS4779,08/05/2013,41.00
CS2567,15/07/2011,93.00
CS3629,30/09/2014,68.00
CS2026,25/08/2013,66.00
CS4338,05/07/2013,58.00
CS4142,20/05/2012,100.00
CS2837,10/11/2012,88.00
CS1625,05/11/2013,104.00
CS4873,20/11/2012,83.00
CS3376,28/08/2012,39.00
CS4311,27/02/2012,35.00
CS1396,25/09/2012,86.00
CS3779,29/01/2014,92.00
CS1997,09/10/2012,87.00
CS4540,17/05/2012,72.00
CS5299,22/12/2012,90.00
CS2253,21/11/2012,99.00
CS6066,17/03/2014,102.00
CS6077,22/11/2012,44.00
CS3300,28/12/2014,86.00
CS5922,31/03/2012,95.00
CS6009,13/03/2014,39.00
CS5064,19/02/2013,97.00
CS2399,21/04/2014,77.00
CS5547,27/09/2012,73.00
CS5114,23/09/2012,96.00
CS3908,10/11/2011,83.00
CS4194,24/04/2013,92.00
CS5342,15/10/2012,82.00
CS5425,04/08/2012,90.00
CS1991,29/09/2014,94.00
CS2693,27/08/2013,61.00
CS5076,31/01/2015,63.00
CS3177,08/06/2011,87.00
CS2809,02/06/2012,60.00
CS3864,06/12/2013,56.00
CS2515,11/12/2011,51.00
CS4487,25/08/2011,100.00
CS3108,20/08/2011,87.00
CS1133,28/07/2014,91.00
CS5919,04/03/2012,97.00
CS6067,04/09/2012,44.00
CS4893,24/10/2013,66.00
CS5750,25/03/2014,48.00
CS1445,13/11/2011,88.00
CS1710,26/10/2011,52.00
CS1927,23/12/2013,97.00
CS5719,10/07/2011,40.00
CS2591,29/01/2014,69.00
CS2416,13/02/2013,59.00
CS1347,10/02/2013,74.00
CS3073,13/02/2015,95.00
CS3590,23/10/2013,104.00
CS4099,29/05/2014,67.00
CS4109,21/08/2012,40.00
CS6072,20/12/2011,82.00
CS3266,17/11/2012,51.00
CS1433,22/12/2014,72.00
CS5499,23/06/2011,59.00
CS1533,20/07/2012,85.00
CS5405,21/04/2012,91.00
CS4971,28/05/2013,83.00
CS5461,06/02/2012,47.00
CS6088,27/01/2013,82.00
CS1984,04/09/2012,53.00
CS1184,05/01/2013,102.00
CS4346,09/12/2012,65.00
CS5245,29/10/2014,104.00
CS5402,03/11/2011,84.00
CS2765,29/08/2011,61.00
CS5785,20/06/2013,63.00
CS5767,29/05/2013,82.00
CS2753,17/06/2012,63.00
CS2252,04/09/2012,68.00
CS5488,28/06/2012,53.00
CS5354,23/09/2014,83.00
CS1470,11/02/2012,95.00
CS1155,16/10/2011,75.00
CS5565,04/06/2014,36.00
CS6073,07/02/2015,104.00
CS2817,11/06/2014,43.00
CS3210,29/10/2011,57.00
CS4688,16/10/2012,59.00
CS4663,24/02/2013,95.00
CS4539,28/07/2012,35.00
CS2580,09/07/2012,42.00
CS3983,15/10/2012,103.00
CS2771,02/07/2012,67.00
CS3635,03/02/2015,38.00
CS1415,21/01/2012,73.00
CS2294,04/03/2015,94.00
CS1405,18/09/2013,43.00
CS1582,16/01/2014,85.00
CS2886,09/11/2013,38.00
CS2770,07/11/2014,80.00
CS1140,28/12/2014,61.00
CS2333,25/01/2014,93.00
CS4752,20/04/2013,95.00
CS5687,26/07/2011,89.00
CS4895,11/01/2014,80.00
CS2786,28/11/2011,66.00
CS1927,24/05/2012,63.00
CS4327,26/09/2014,36.00
CS1624,30/03/2013,68.00
CS5490,19/08/2014,36.00
CS4395,26/02/2012,66.00
CS3174,25/01/2013,61.00
CS2011,06/06/2013,85.00
CS5553,07/01/2015,98.00
CS3775,23/02/2012,92.00
CS2885,08/11/2012,55.00
CS1206,11/08/2014,90.00
CS4480,23/05/2012,60.00
CS1488,12/02/2015,65.00
CS1456,08/02/2013,95.00
CS4681,03/02/2014,96.00
CS3170,16/10/2012,85.00
CS1906,18/05/2014,60.00
CS5774,28/02/2015,78.00
CS6063,29/09/2011,77.00
CS2223,17/01/2014,41.00
CS1848,27/09/2011,48.00
CS2366,08/04/2014,39.00
CS5335,13/01/2014,45.00
CS2899,12/10/2012,55.00
CS4219,06/12/2013,59.00
CS5690,19/01/2015,82.00
CS3410,06/09/2014,97.00
CS1337,24/07/2014,103.00
CS4954,02/11/2012,82.00
CS4400,23/08/2011,67.00
CS3652,07/02/2015,64.00
CS5677,28/02/2013,93.00
CS4992,21/10/2012,83.00
CS3569,17/08/2014,61.00
CS2442,30/04/2014,59.00
CS4160,15/05/2012,66.00
CS5996,18/11/2011,69.00
CS2345,14/06/2011,60.00
CS2246,10/08/2011,44.00
CS2928,16/07/2013,67.00
CS1740,28/09/2014,102.00
CS2298,12/09/2011,105.00
CS5283,01/12/2012,63.00
CS6084,15/08/2013,64.00
CS3237,22/01/2013,40.00
CS4913,22/07/2014,53.00
CS2104,25/10/2014,81.00
CS4645,02/12/2013,104.00
CS1128,23/04/2014,105.00
CS4639,27/07/2012,39.00
CS4310,13/09/2011,83.00
CS3182,18/01/2013,48.00
CS3347,23/07/2012,38.00
CS4231,23/02/2015,89.00
CS4171,31/10/2014,53.00
CS3137,03/08/2013,92.00
CS1249,23/05/2012,55.00
CS3455,03/10/2011,98.00
CS1235,30/05/2012,56.00
CS4454,27/08/2013,57.00
CS3180,09/03/2014,65.00
CS2930,16/01/2014,94.00
CS3838,23/03/2012,82.00
CS1883,12/10/2014,57.00
CS5148,19/11/2012,72.00
CS4952,21/11/2011,54.00
CS5724,04/11/2011,85.00
CS1447,19/03/2012,104.00
CS1693,28/01/2012,59.00
CS4341,17/03/2014,87.00
CS3598,08/08/2012,72.00
CS5659,02/08/2012,100.00
CS5367,01/12/2014,41.00
CS1501,27/02/2013,65.00
CS2134,15/07/2014,77.00
CS3407,17/09/2014,62.00
CS3343,03/04/2014,56.00
CS3506,12/03/2013,103.00
CS2244,05/05/2013,86.00
CS1243,04/12/2012,70.00
CS3061,02/12/2013,89.00
CS4884,10/02/2015,78.00
CS1590,09/04/2014,39.00
CS3176,28/07/2014,50.00
CS5638,12/11/2014,68.00
CS2122,21/10/2012,83.00
CS2177,30/01/2015,93.00
CS3074,27/05/2011,61.00
CS3433,20/12/2012,99.00
CS3418,02/03/2013,87.00
CS5821,23/06/2012,70.00
CS2231,08/01/2015,74.00
CS5356,01/04/2014,91.00
CS5803,28/11/2014,96.00
CS5611,29/12/2014,65.00
CS5012,31/12/2011,85.00
CS4967,07/04/2013,98.00
CS2522,06/10/2014,85.00
CS2328,20/02/2015,43.00
CS3530,13/05/2013,88.00
CS5034,01/06/2014,39.00
CS5784,21/11/2011,75.00
CS3581,17/08/2011,93.00
CS3011,14/12/2014,83.00
CS4152,12/02/2013,41.00
CS5757,08/02/2014,56.00
CS5557,23/01/2012,82.00
CS3988,17/04/2012,51.00
CS3396,25/12/2011,87.00
CS4393,10/02/2015,54.00
CS4629,21/12/2012,35.00
CS3821,03/07/2013,73.00
CS3460,19/09/2011,77.00
CS4948,18/02/2013,84.00
CS3786,17/10/2011,71.00
CS5468,08/06/2012,50.00
CS1545,16/09/2014,55.00
CS4960,16/02/2014,77.00
CS3555,05/08/2013,103.00
CS4587,31/10/2012,104.00
CS1228,27/09/2011,57.00
CS5126,22/12/2012,49.00
CS1453,23/03/2014,45.00
CS5938,20/11/2012,61.00
CS3135,31/07/2012,49.00
CS4444,29/03/2013,102.00
CS5348,06/12/2014,64.00
CS1416,27/11/2012,100.00
CS5400,07/05/2014,75.00
CS2313,23/12/2012,59.00
CS5187,28/01/2012,42.00
CS3426,02/04/2013,87.00
CS2309,31/05/2011,60.00
CS4564,29/03/2013,94.00
CS3291,30/12/2012,93.00
CS2607,19/02/2013,50.00
CS1882,23/09/2014,104.00
CS2248,17/08/2011,100.00
CS4082,15/02/2015,49.00
CS3181,27/04/2014,62.00
CS2462,25/02/2012,88.00
CS2336,22/09/2013,86.00
CS3235,02/07/2012,43.00
CS2748,11/01/2012,55.00
CS3668,25/08/2012,86.00
CS1296,14/01/2014,61.00
CS5356,12/10/2012,57.00
CS4079,21/08/2012,68.00
CS4864,06/01/2014,73.00
CS2860,24/05/2013,74.00
CS4851,23/04/2013,94.00
CS5761,28/01/2015,102.00
CS6082,02/03/2012,48.00
CS3702,22/05/2011,45.00
CS1512,01/04/2013,54.00
CS4569,03/07/2014,76.00
CS2419,06/07/2014,95.00
CS3942,21/05/2013,64.00
CS4604,07/04/2012,38.00
CS6056,21/02/2013,98.00
CS2592,08/09/2013,73.00
CS5152,30/03/2014,53.00
CS4282,13/06/2011,46.00
CS4509,21/08/2012,93.00
CS2252,23/09/2014,95.00
CS3367,27/08/2013,98.00
CS4980,25/01/2012,64.00
CS3128,03/09/2011,91.00
CS3331,30/06/2013,99.00
CS4166,31/12/2012,104.00
CS5063,20/06/2012,56.00
CS5971,15/01/2014,94.00
CS5060,02/10/2013,38.00
CS5810,30/04/2013,48.00
CS2860,01/08/2011,78.00
CS4490,12/09/2014,37.00
CS5976,22/07/2012,47.00
CS4775,30/07/2012,86.00
CS4174,20/11/2012,51.00
CS5211,13/01/2015,85.00
CS3450,26/10/2012,80.00
CS3945,17/11/2012,80.00
CS2524,12/04/2012,55.00
CS3379,07/10/2014,101.00
CS4349,05/02/2012,87.00
CS2776,01/11/2012,70.00
CS1839,13/11/2013,77.00
CS1322,25/11/2013,84.00
CS3593,25/05/2012,81.00
CS1981,21/05/2011,71.00
CS4054,16/08/2011,99.00
CS4533,21/01/2015,53.00
CS2896,29/12/2011,80.00
CS5616,12/10/2013,37.00
CS3791,03/07/2014,49.00
CS1951,29/05/2011,73.00
CS2473,16/06/2013,81.00
CS5894,17/08/2013,68.00
CS1633,19/12/2012,62.00
CS1977,01/07/2013,38.00
CS6011,21/02/2014,55.00
CS6044,17/10/2013,36.00
CS4951,30/10/2013,90.00
CS2798,02/08/2011,69.00
CS2197,21/09/2012,70.00
CS3011,03/02/2014,65.00
CS1654,16/12/2014,85.00
CS2424,05/12/2013,101.00
CS3530,20/04/2014,40.00
CS1803,18/07/2013,80.00
CS4627,22/06/2014,50.00
CS5154,05/08/2012,78.00
CS3368,04/12/2012,38.00
CS2435,19/12/2013,86.00
CS4353,07/02/2015,75.00
CS5305,14/03/2012,86.00
CS3539,01/06/2013,64.00
CS2087,29/11/2012,52.00
CS5569,07/08/2011,56.00
CS5038,15/11/2014,75.00
CS4895,21/01/2013,43.00
CS2873,26/12/2011,87.00
CS5184,09/02/2013,51.00
CS1930,19/04/2013,76.00
CS4267,20/05/2012,38.00
CS5109,01/08/2014,91.00
CS5778,25/11/2012,65.00
CS3400,02/03/2012,97.00
CS2578,11/09/2013,47.00
CS3374,25/10/2011,49.00
CS1492,11/09/2011,101.00
CS4121,21/01/2013,50.00
CS5623,01/03/2015,100.00
CS5118,26/02/2012,65.00
CS3838,21/08/2014,42.00
CS3713,01/10/2013,50.00
CS3104,12/06/2011,51.00
CS4964,30/04/2012,86.00
CS5534,20/07/2014,40.00
CS4723,01/01/2014,88.00
CS3353,04/12/2014,94.00
CS3789,13/02/2014,102.00
CS4141,04/02/2014,88.00
CS1626,23/12/2012,38.00
CS2653,07/04/2012,81.00
CS5227,13/01/2014,49.00
CS4299,12/06/2013,36.00
CS4675,02/11/2011,85.00
CS1474,29/05/2012,37.00
CS4892,23/05/2012,60.00
CS3864,03/08/2014,78.00
CS4259,05/02/2012,55.00
CS4674,19/12/2014,75.00
CS4904,15/06/2014,60.00
CS1663,15/03/2012,53.00
CS4527,12/12/2012,99.00
CS3886,10/04/2012,85.00
CS6090,26/09/2012,93.00
CS5633,21/07/2011,54.00
CS1971,09/03/2013,39.00
CS2411,26/09/2013,71.00
CS2168,29/01/2015,65.00
CS5716,19/03/2012,100.00
CS3069,15/12/2011,62.00
CS4123,16/10/2012,60.00
CS4310,29/09/2014,61.00
CS1522,21/04/2013,90.00
CS6085,24/09/2013,65.00
CS1425,04/01/2015,83.00
CS1398,02/08/2014,56.00
CS3410,19/07/2011,69.00
CS5930,15/04/2014,35.00
CS3658,28/05/2012,37.00
CS1743,12/04/2014,73.00
CS5345,07/10/2014,84.00
CS4853,12/02/2014,45.00
CS4654,30/04/2014,83.00
CS4355,30/09/2014,77.00
CS1609,02/02/2012,45.00
CS3857,08/11/2013,53.00
CS4790,24/12/2013,103.00
CS3261,31/07/2012,72.00
CS5896,28/09/2012,78.00
CS4499,19/10/2012,46.00
CS2305,10/06/2011,71.00
CS4363,09/10/2014,102.00
CS5777,29/07/2011,97.00
CS4557,29/09/2012,93.00
CS5019,06/11/2012,67.00
CS4285,27/01/2015,38.00
CS5264,13/02/2013,79.00
CS3960,26/05/2012,48.00
CS2263,05/01/2013,96.00
CS2721,21/09/2013,88.00
CS3317,15/02/2014,41.00
CS4849,03/10/2011,73.00
CS2745,21/06/2012,84.00
CS3373,03/11/2012,88.00
